date,NVDA,SPY
2010-01-04,0.4622,113.33
2010-01-05,0.469,113.63
2010-01-06,0.472,113.71
2010-01-07,0.4628,114.19
2010-01-08,0.4638,114.57
2010-01-11,0.4572,114.73
2010-01-12,0.4418,113.66
2010-01-13,0.4478,114.62
2010-01-14,0.4408,114.93
2010-01-15,0.4278,113.64
2010-01-19,0.4358,115.06
2010-01-20,0.4338,113.89
2010-01-21,0.4262,111.7
2010-01-22,0.4115,109.21
2010-01-25,0.4185,109.77
2010-01-26,0.4052,109.31
2010-01-27,0.4162,109.83
2010-01-28,0.4022,108.57
2010-01-29,0.3848,107.39
2010-02-01,0.4142,109.06
2010-02-02,0.4185,110.38
2010-02-03,0.422,109.83
2010-02-04,0.3975,106.44
2010-02-05,0.4055,106.66
2010-02-08,0.4048,105.89
2010-02-09,0.4015,107.22
2010-02-10,0.4092,107.01
2010-02-11,0.428,108.13
2010-02-12,0.4338,108.04
2010-02-16,0.4418,109.74
2010-02-17,0.446,110.26
2010-02-18,0.4168,110.91
2010-02-19,0.4145,111.14
2010-02-22,0.4152,111.16
2010-02-23,0.4052,109.81
2010-02-24,0.4138,110.82
2010-02-25,0.41,110.67
2010-02-26,0.405,110.74
2010-03-01,0.4212,111.89
2010-03-02,0.421,112.2
2010-03-03,0.4158,112.3
2010-03-04,0.4165,112.64
2010-03-05,0.4292,114.25
2010-03-08,0.423,114.27
2010-03-09,0.4388,114.46
2010-03-10,0.4398,114.97
2010-03-11,0.4298,115.45
2010-03-12,0.4312,115.46
2010-03-15,0.429,115.49
2010-03-16,0.4438,116.41
2010-03-17,0.4525,117.1
2010-03-18,0.4365,117.04
2010-03-19,0.4312,115.97
2010-03-22,0.4382,116.59
2010-03-23,0.4472,117.41
2010-03-24,0.4322,116.84
2010-03-25,0.4335,116.65
2010-03-26,0.4335,116.58
2010-03-29,0.439,117.32
2010-03-30,0.4408,117.4
2010-03-31,0.435,117.0
2010-04-01,0.4305,117.8
2010-04-05,0.437,118.76
2010-04-06,0.4262,119.04
2010-04-07,0.429,118.36
2010-04-08,0.422,118.77
2010-04-09,0.4248,119.55
2010-04-12,0.4325,119.74
2010-04-13,0.4415,119.83
2010-04-14,0.447,121.19
2010-04-15,0.4502,121.29
2010-04-16,0.4265,119.36
2010-04-19,0.4245,119.81
2010-04-20,0.426,120.88
2010-04-21,0.415,120.66
2010-04-22,0.4168,121.02
2010-04-23,0.411,121.81
2010-04-26,0.415,121.35
2010-04-27,0.4032,118.48
2010-04-28,0.404,119.38
2010-04-29,0.4162,120.86
2010-04-30,0.3928,118.81
2010-05-03,0.3885,120.35
2010-05-04,0.3688,117.52
2010-05-05,0.3625,116.82
2010-05-06,0.355,112.94
2010-05-07,0.349,111.26
2010-05-10,0.364,116.16
2010-05-11,0.36,115.83
2010-05-12,0.367,117.45
2010-05-13,0.3662,115.99
2010-05-14,0.324,113.89
2010-05-17,0.3248,113.95
2010-05-18,0.314,112.4
2010-05-19,0.319,111.76
2010-05-20,0.3115,107.54
2010-05-21,0.3182,109.12
2010-05-24,0.309,107.71
2010-05-25,0.3172,107.82
2010-05-26,0.3188,107.17
2010-05-27,0.3375,110.76
2010-05-28,0.3285,109.37
2010-06-01,0.3145,107.53
2010-06-02,0.318,110.33
2010-06-03,0.3175,110.71
2010-06-04,0.3025,106.82
2010-06-07,0.2875,105.49
2010-06-08,0.2795,106.62
2010-06-09,0.2728,106.05
2010-06-10,0.2838,109.15
2010-06-11,0.2902,109.68
